Label,Predicted
Partially cloudy,"Rain, Partially cloudy"
Partially cloudy,Partially cloudy
Clear,Clear
"Rain, Overcast","Rain, Overcast"
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
Clear,Clear
Clear,Clear
"Rain, Overcast","Rain, Overcast"
"Rain, Overcast","Rain, Overcast"
Clear,Clear
Clear,Clear
"Rain, Partially cloudy","Rain, Overcast"
Partially cloudy,Partially cloudy
"Rain, Partially cloudy","Rain, Partially cloudy"
Partially cloudy,Partially cloudy
"Rain, Partially cloudy",Partially cloudy
"Rain, Partially cloudy","Rain, Partially cloudy"
Rain,Clear
"Rain, Partially cloudy","Rain, Partially cloudy"
Partially cloudy,"Rain, Partially cloudy"
Overcast,"Rain, Overcast"
Partially cloudy,"Rain, Partially cloudy"
Partially cloudy,Partially cloudy
"Rain, Partially cloudy",Partially cloudy
"Rain, Partially cloudy",Partially cloudy
Clear,Clear
"Rain, Partially cloudy","Rain, Partially cloudy"
Partially cloudy,Partially cloudy
Clear,Clear
Clear,Clear
Partially cloudy,"Rain, Partially cloudy"
Partially cloudy,"Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Overcast","Rain, Overcast"
"Rain, Overcast","Rain, Overcast"
Clear,Clear
"Rain, Partially cloudy","Rain, Partially cloudy"
Partially cloudy,Partially cloudy
Clear,Clear
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Overcast","Rain, Overcast"
"Rain, Partially cloudy","Rain, Partially cloudy"
Rain,Partially cloudy
"Rain, Partially cloudy","Rain, Partially cloudy"
Partially cloudy,Partially cloudy
"Rain, Overcast","Rain, Overcast"
Overcast,Overcast
Partially cloudy,"Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
Clear,Clear
Clear,Clear
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy",Partially cloudy
"Rain, Overcast","Rain, Overcast"
Clear,Clear
"Rain, Overcast","Rain, Overcast"
Overcast,"Rain, Overcast"
